,tl,tm,tr,ml,mm,mr,ll,lm,lr,Class
0,o,x,o,b,x,x,b,x,o,positive
1,o,b,x,o,o,x,x,b,x,positive
2,x,b,o,o,b,o,x,x,x,positive
3,b,o,x,b,x,x,x,o,o,positive
4,x,b,o,x,x,o,b,o,x,positive
5,x,x,o,x,o,b,o,o,x,negative
6,x,x,x,o,x,o,o,b,b,positive
7,x,b,o,x,o,b,x,b,b,positive
8,o,o,x,o,o,x,x,x,x,positive
9,o,x,x,b,x,o,o,x,b,positive
10,o,o,o,b,x,x,o,x,x,negative
11,x,x,o,b,x,o,o,x,b,positive
12,o,x,o,o,x,b,b,x,x,positive
13,x,x,o,x,b,o,x,o,b,positive
14,b,b,x,o,o,x,x,o,x,positive
15,o,o,x,x,o,x,o,x,x,positive
16,x,b,o,o,o,x,o,x,x,negative
17,x,o,o,b,x,b,b,b,x,positive
18,x,x,x,b,b,o,b,b,o,positive
19,x,b,b,o,x,o,x,o,x,positive
20,b,b,x,o,b,x,o,b,x,positive
21,x,b,b,x,o,b,x,o,b,positive
22,o,x,x,x,o,b,o,x,o,negative
23,b,o,o,x,o,x,x,o,x,negative
24,x,o,b,x,x,o,x,o,b,positive
25,x,o,x,b,o,o,x,o,x,negative
26,b,b,x,b,b,x,o,o,x,positive
27,o,x,o,x,x,b,b,x,o,positive
28,x,x,o,o,b,o,x,x,o,negative
29,o,o,x,o,x,x,x,b,b,positive
30,o,x,o,x,o,o,x,x,x,positive
31,b,x,o,o,x,o,b,x,x,positive
32,b,x,o,b,o,x,o,x,b,negative
33,b,x,b,o,x,o,o,x,x,positive
34,b,o,x,x,o,x,x,o,o,negative
35,o,x,o,x,o,b,x,x,o,negative
36,x,o,b,x,o,x,o,o,x,negative
37,o,b,x,o,b,x,x,o,x,positive
38,o,x,x,o,b,b,o,x,b,negative
39,x,o,o,x,x,x,x,o,o,positive
40,x,b,o,x,o,o,o,x,x,negative
41,o,b,x,b,o,x,o,x,x,positive
42,o,x,b,o,x,x,o,b,b,negative
43,b,o,x,b,b,x,o,b,x,positive
44,x,x,b,x,o,x,o,o,o,negative
45,x,o,b,o,x,b,o,x,x,positive
46,x,b,b,x,b,o,x,o,b,positive
47,o,o,x,o,b,x,b,x,x,positive
48,o,b,b,x,o,b,x,x,o,negative
49,x,x,o,b,x,b,o,o,x,positive
50,o,b,b,o,b,b,x,x,x,positive
51,o,x,x,o,x,x,o,o,b,negative
52,o,b,x,o,x,x,x,b,o,positive
53,b,b,x,b,x,x,o,o,o,negative
54,b,x,x,o,x,b,o,x,o,positive
55,x,x,b,x,x,o,o,o,o,negative
56,o,x,x,o,o,o,x,b,x,negative
57,x,x,o,x,o,o,b,x,o,negative
58,b,o,x,o,x,b,x,x,o,positive
59,x,o,o,b,x,x,o,b,x,positive
60,o,b,x,b,x,b,x,b,o,positive
61,x,o,x,x,o,o,x,x,o,positive
62,b,o,x,b,x,b,x,b,o,positive
63,b,b,x,o,x,o,x,x,o,positive
64,x,x,x,o,b,b,x,o,o,positive
65,o,b,x,o,b,x,o,x,b,negative
66,b,o,x,b,o,x,x,o,b,negative
67,o,x,x,o,b,x,o,x,o,negative
68,x,o,x,x,b,o,x,b,o,positive
69,b,b,x,b,o,x,b,o,x,positive
70,x,o,x,x,o,o,x,b,b,positive
71,x,o,b,b,o,b,x,o,x,negative
72,x,x,o,x,o,b,o,b,b,negative
73,b,x,o,o,x,x,o,x,b,positive
74,x,x,o,b,x,b,o,x,o,positive
75,x,b,o,b,x,o,b,b,x,positive
76,b,o,x,x,x,o,x,b,o,positive
77,x,o,o,x,o,b,o,x,x,negative
78,o,x,b,b,x,o,b,x,b,positive
79,o,o,x,x,b,x,b,o,x,positive
80,o,b,x,x,x,o,x,b,o,positive
81,x,x,x,b,o,b,o,o,x,positive
82,x,x,x,b,o,o,o,b,x,positive
83,o,o,x,b,x,b,x,o,x,positive
84,x,o,x,x,o,b,o,o,x,negative
85,o,o,o,x,b,x,x,o,x,negative
86,x,b,o,b,x,b,b,o,x,positive
87,o,o,o,o,x,x,x,x,b,negative
88,o,b,o,x,x,x,x,b,o,positive
89,o,b,x,x,o,x,b,b,o,negative
90,x,o,o,x,x,o,x,o,x,positive
91,b,x,x,x,b,b,o,o,o,negative
92,x,o,o,b,x,b,o,x,x,positive
93,b,o,x,b,b,x,b,o,x,positive
94,x,o,o,x,o,x,o,x,b,negative
95,x,b,o,x,b,o,b,x,o,negative
96,b,x,x,b,b,x,o,o,o,negative
97,x,o,b,x,o,x,x,b,o,positive
98,b,o,b,b,b,o,x,x,x,positive
99,o,b,x,x,o,x,o,b,x,positive
100,o,o,o,x,x,b,x,x,o,negative
101,x,b,o,b,x,o,x,o,x,positive
102,x,x,o,x,x,b,o,o,o,negative
103,x,x,x,o,o,b,b,o,x,positive
104,b,o,b,b,o,x,x,o,x,negative
105,o,b,b,x,o,o,x,x,x,positive
106,x,b,x,b,x,o,o,o,x,positive
107,b,x,o,b,o,o,x,x,x,positive
108,x,x,x,b,o,o,x,b,o,positive
109,x,x,o,b,o,x,o,o,x,negative
110,x,o,x,o,x,b,x,o,b,positive
111,b,o,o,x,b,o,x,x,x,positive
112,x,x,x,x,b,o,o,o,b,positive
113,o,b,x,o,x,b,o,x,b,negative
114,x,x,b,o,o,o,b,x,b,negative
115,x,b,o,o,o,b,x,x,x,positive
116,o,b,b,b,o,b,x,x,x,positive
117,x,b,o,o,x,b,x,o,x,positive
118,o,b,x,o,b,o,x,x,x,positive
119,o,x,o,x,x,x,x,o,o,positive
120,x,x,x,b,o,b,b,o,b,positive
121,b,x,x,b,x,o,x,o,o,positive
122,o,o,o,b,x,x,b,x,b,negative
123,b,b,x,o,o,o,x,x,b,negative
124,b,x,x,o,x,o,x,b,o,positive
125,o,o,o,x,b,x,b,b,x,negative
126,o,b,x,b,x,x,x,o,o,positive
127,x,b,o,b,x,o,x,b,o,negative
128,b,o,x,o,x,x,x,b,o,positive
129,o,x,x,b,b,x,o,o,x,positive
130,x,o,x,b,x,b,o,o,x,positive
131,x,x,x,b,b,o,o,b,b,positive
132,b,o,o,x,x,x,b,x,o,positive
133,o,b,x,x,o,b,x,b,o,negative
134,o,o,b,b,o,x,x,x,x,positive
135,o,x,x,x,b,x,o,o,o,negative
136,x,o,o,x,b,x,x,o,b,positive
137,o,b,b,x,x,x,o,o,x,positive
138,x,o,x,x,x,o,o,o,x,positive
139,x,b,o,x,o,x,o,o,x,negative
140,o,o,o,b,x,b,x,x,b,negative
141,b,o,x,o,b,x,x,o,x,positive
142,x,o,b,o,o,x,x,o,x,negative
143,x,o,o,x,x,x,b,b,o,positive
144,b,b,x,x,b,x,o,o,o,negative
145,x,o,x,b,x,o,x,o,b,positive
146,x,b,x,o,x,o,x,o,b,positive
147,x,o,b,o,x,b,b,b,x,positive
148,o,o,x,o,b,b,x,x,x,positive
149,x,o,x,o,o,x,b,b,x,positive
150,x,o,o,x,o,x,o,b,x,negative
151,o,x,x,o,o,x,x,o,x,positive
152,x,o,b,b,x,o,b,b,x,positive
153,x,x,x,x,o,b,b,o,o,positive
154,x,x,o,b,x,o,x,o,o,negative
155,b,b,o,o,o,x,x,x,x,positive
156,x,b,x,x,b,o,x,o,o,positive
157,o,x,x,x,x,o,o,o,x,negative
158,o,b,x,o,x,x,o,x,o,negative
159,x,o,x,b,o,b,x,o,b,negative
160,x,o,b,x,x,o,b,o,x,positive
161,x,b,x,o,x,o,o,b,x,positive
162,o,o,x,x,o,b,x,x,o,negative
163,x,x,o,o,x,b,b,o,x,positive
164,x,o,x,o,x,o,x,o,x,positive
165,o,x,x,x,o,b,x,o,o,negative
166,o,b,b,x,x,x,o,x,o,positive
167,x,x,b,o,x,o,b,x,o,positive
168,x,x,b,b,x,b,o,o,o,negative
169,o,o,b,x,x,x,b,o,x,positive
170,o,b,x,o,x,o,o,x,x,negative
171,x,o,b,b,o,x,x,o,b,negative
172,x,x,x,o,b,o,x,o,b,positive
173,b,b,o,o,x,o,x,x,x,positive
174,x,o,o,b,x,o,x,x,o,negative
175,b,b,o,x,x,o,b,x,o,negative
176,o,b,b,x,x,x,b,b,o,positive
177,x,x,o,x,o,x,x,o,o,positive
178,o,b,o,x,o,x,x,x,o,negative
179,x,x,o,o,x,x,o,x,o,positive
180,o,b,o,x,x,x,b,o,x,positive
181,o,x,b,x,o,b,x,b,o,negative
182,x,b,o,x,b,x,x,o,o,positive
183,x,x,b,o,o,o,x,b,b,negative
184,o,b,o,x,o,b,x,x,x,positive
185,x,x,x,o,b,o,b,o,x,positive
186,o,o,x,x,o,x,b,x,o,negative
187,x,b,o,x,x,b,o,o,x,positive
188,b,b,x,o,o,o,x,b,x,negative
189,x,o,b,x,x,x,o,b,o,positive
190,o,x,b,b,x,o,x,x,o,positive
191,x,x,o,b,b,o,x,b,o,negative
192,b,x,o,x,x,x,o,o,b,positive
193,o,o,x,o,x,x,b,b,x,positive
194,x,o,b,b,x,x,o,o,x,positive
195,o,b,x,o,x,x,x,o,b,positive
196,o,x,x,b,o,o,x,x,o,negative
197,o,x,o,x,x,b,o,x,b,positive
198,o,x,o,o,o,x,x,x,x,positive
199,x,o,o,o,o,x,x,x,x,positive
200,x,b,b,x,x,o,o,o,x,positive
201,x,o,x,o,x,x,o,o,x,positive
